sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU-0053,Small Appliances,Fans,2023-08-06,1913.61,3659.52
SKU-0054,Decor,Wall Art,2024-06-30,1070.55,1844.25
SKU-0055,Small Appliances,Air Purifiers,2023-12-16,1734.77,3171.16
SKU-0056,Small Appliances,Air Purifiers,2023-12-25,1387.24,2164.23
SKU-0057,Decor,Wall Art,2024-05-18,653.69,1285.38
SKU-0058,Decor,Lighting,2023-11-30,1013.03,2235.57
SKU-0059,Furnishings,Tables,2023-12-10,11010.07,21099.56
SKU-0060,Furnishings,Sofas,2023-08-14,4332.45,8332.74
SKU-0061,Decor,Lighting,2026-03-30,998.63,2272.18
SKU-0062,Decor,Lighting,2024-04-05,923.4,1615.67
SKU-0063,Decor,Rugs,2023-09-21,594.05,1066.64
SKU-0064,Small Appliances,Heaters,2024-06-30,465.3,1133.79
SKU-0065,Decor,Rugs,2024-04-14,1003.28,2118.2
SKU-0066,Decor,Rugs,2024-08-12,1231.45,2373.98
SKU-0067,Decor,Rugs,2023-09-17,1626.69,3183.29
SKU-0068,Decor,Lighting,2024-12-18,1623.62,2942.1
SKU-0069,Furnishings,Sofas,2024-02-25,9000.11,14698.09
SKU-0070,Decor,Vases,2024-07-30,600.39,1040.57
SKU-0071,Furnishings,Tables,2024-02-01,3802.2,6454.44
SKU-0072,Decor,Lighting,2025-11-23,756.54,1647.25
SKU-0073,Small Appliances,Heaters,2024-01-14,1771.02,4035.31
SKU-0074,Furnishings,Tables,2023-09-11,3484.35,8244.8
SKU-0075,Furnishings,Chairs,2024-04-02,3427.42,6227.58
SKU-0076,Decor,Rugs,2025-01-11,1485.16,2466.63
SKU-0077,Decor,Lighting,2025-07-12,961.94,1922.41
SKU-0078,Decor,Wall Art,2023-11-09,778.21,1923.66
SKU-0079,Decor,Vases,2023-10-17,960.41,2044.18
SKU-0080,Small Appliances,Fans,2023-09-05,1918.5,4109.04
SKU-0081,Decor,Vases,2023-11-29,1277.59,3163.49
SKU-0082,Decor,Vases,2026-01-30,960.61,1551.8
SKU-0083,Small Appliances,Air Purifiers,2024-02-03,2269.92,4252.73
SKU-0084,Furnishings,Sofas,2023-10-04,6786.94,13278.19
SKU-0085,Furnishings,Chairs,2026-03-20,5536.68,9943.32
SKU-0086,Furnishings,Storage,2023-11-20,2357.84,5164.25
SKU-0087,Small Appliances,Fans,2023-10-01,2059.39,3482.42
SKU-0088,Decor,Rugs,2024-09-18,950.61,1977.64
SKU-0089,Furnishings,Tables,2023-08-24,8087.75,13694.46
SKU-0090,Decor,Vases,2023-09-10,784.76,1561.96
SKU-0091,Furnishings,Tables,2023-08-28,3619.85,5756.79
SKU-0092,Decor,Rugs,2023-09-29,2126.38,3692.21
SKU-0093,Decor,Wall Art,2023-12-31,542.09,982.21
SKU-0094,Decor,Rugs,2024-06-24,2043.35,3226.98
SKU-0095,Decor,Rugs,2024-02-17,1080.57,1915.3
SKU-0096,Decor,Vases,2023-10-21,759.77,1312.51
SKU-0097,Decor,lighting,2024-04-08,1102.95,2130.83
SKU-0098,Furnishings,Tables,2023-11-29,3903.98,6620.76
SKU-0099,Furnishings,Chairs,2023-09-02,4956.88,9726.48
SKU-0100,Small Appliances,Heaters,2024-02-23,1598.31,3982.58
SKU-0101,Small Appliances,Heaters,2023-08-21,1658.79,2747.68
SKU-0102,Decor,Rugs,2023-11-29,809.52,1551.34
SKU-0103,Furnishings,Storage,2023-07-30,4071.5,6364.4
SKU-0104,Small Appliances,Air Purifiers,2025-07-16,1705.57,2982.51
SKU-0105,Small Appliances,Heaters,2024-03-16,2196.52,4619.85
SKU-0106,Small Appliances,Fans,2025-06-06,2607.39,4013.93
SKU-0107,Decor,Wall Art,2024-08-16,882.21,1672.04
SKU-0108,Furnishings,Tables,2023-10-09,3476.32,5943.32
SKU-0109,Furnishings,Storage,2024-02-07,3648.76,6153.71
SKU-0110,Small Appliances,Fans,2024-07-28,1020.99,2162.6
SKU-0111,Decor,Rugs,2024-06-22,1285.03,1984.04
SKU-0112,Furnishings,Sofas,2024-07-03,2282.33,3871.04
SKU-0113,Decor,Lighting,2023-09-12,813.71,1863.49
SKU-0114,Decor,Vases,2023-10-12,772.2,1316.78
SKU-0115,Furnishings,Storage,2023-12-19,8885.06,15877.06
SKU-0116,Small Appliances,Heaters,2023-10-02,2226.38,3736.1
SKU-0117,Small Appliances,Air Purifiers,2024-11-06,2031.2,3605.38
SKU-0118,Small Appliances,Heaters,2023-10-31,2682.72,5764.89
SKU-0119,Decor,Wall Art,2023-12-23,1110.0,1807.61
SKU-0120,Decor,Vases,2025-08-20,740.47,1140.95
SKU-0121,Decor,Lighting,2023-12-27,769.29,1807.23
SKU-0122,Decor,Wall Art,2023-12-12,1088.19,1707.31
SKU-0123,Furnishings,Chairs,2023-11-25,2935.64,4548.14
SKU-0124,Decor,Vases,2023-09-02,907.43,1824.68
SKU-0125,Furnishings,Storage,2023-11-19,6779.35,13338.2
SKU-0126,Decor,Wall Art,2024-03-02,1256.37,1942.19
SKU-0127,Decor,Rugs,2024-03-06,617.77,1444.79
SKU-0128,Furnishings,Chairs,2024-06-18,3453.48,5704.56
SKU-0129,Furnishings,Storage,2023-08-17,3013.98,5659.52
SKU-0130,Decor,Lighting,2024-03-18,802.5,1727.41
SKU-0131,Furnishings,Storage,2024-01-02,2428.66,5727.87
SKU-0132,Small Appliances,Heaters,2024-11-20,2447.62,5273.9
SKU-0133,Decor,Vases,2024-03-19,1423.61,3325.36
SKU-0134,Decor,Rugs,2023-12-17,1328.08,2424.77
SKU-0135,Decor,Lighting,2024-02-11,1374.74,2473.9
SKU-0136,Furnishings,Chairs,2024-06-12,5573.96,9863.14
SKU-0137,Small Appliances,Kitchen Appliances,2024-07-08,1347.34,3135.24
SKU-0138,Decor,Vases,2024-06-03,831.88,1561.05
SKU-0139,Small Appliances,Kitchen Appliances,2024-02-06,2007.5,4123.28
SKU-0140,Furnishings,Sofas,2024-05-08,3609.56,7867.4
SKU-0141,Decor,Wall Art,2026-07-06,502.36,1220.06
SKU-0142,Decor,Vases,2024-04-17,968.53,1547.77
SKU-0143,Small Appliances,Fans,2024-01-13,1627.34,2773.79
SKU-0144,Decor,Rugs,2023-12-27,766.68,1331.06
SKU-0145,Decor,Wall Art,2023-10-17,1022.77,1709.47
SKU-0146,Furnishings,Sofas,2023-08-24,3174.1,5436.36
SKU-0147,Decor,Lighting,2024-03-04,1287.08,2186.37
SKU-0148,Decor,Lighting,2023-09-02,664.72,1285.01
SKU-0149,Decor,rugs,2024-06-13,568.76,1328.88
SKU-0150,Furnishings,Chairs,2024-02-02,4131.91,8009.79
SKU-0151,Small Appliances,Fans,2024-06-27,1982.24,3743.66
SKU-0152,Small Appliances,Fans,2025-09-21,1254.97,2139.02
SKU-0153,Furnishings,Sofas,2023-08-16,5772.38,11591.87
SKU-0154,Decor,Lighting,2024-01-17,815.58,2024.52
SKU-0155,Furnishings,Chairs,2024-02-11,4179.9,9956.1
SKU-0156,Decor,Vases,2024-04-02,751.12,1519.49
SKU-0157,Decor,Vases,2024-05-24,1018.56,1884.47
SKU-0158,Decor,Lighting,2023-07-16,1044.25,1645.83
SKU-0159,Small Appliances,Fans,2024-06-17,1701.24,3083.26
SKU-0160,Small Appliances,Fans,2023-10-31,2284.64,4710.47
SKU-0161,Furnishings,Tables,2023-08-02,3012.99,4974.46
SKU-0162,Small Appliances,Heaters,2024-07-31,835.61,1957.48
SKU-0163,Furnishings,Chairs,2024-01-17,4123.18,7178.49
SKU-0164,Furnishings,Tables,2023-10-26,4167.94,8179.73
SKU-0165,Decor,Lighting,2023-08-20,1172.5,2401.52
SKU-0166,Decor,Rugs,2024-02-22,1129.91,1801.89
SKU-0167,Small Appliances,Heaters,2023-11-25,2076.64,3653.72
SKU-0168,Small Appliances,Air Purifiers,2026-04-14,1072.21,2219.73
SKU-0169,Decor,Vases,2024-06-22,1076.22,2235.99
SKU-0170,Small Appliances,Air Purifiers,2024-01-13,630.07,1530.15
SKU-0171,Decor,Rugs,2023-12-10,1053.63,2595.35
SKU-0172,Decor,Lighting,2024-08-07,645.25,1496.33
SKU-0173,Furnishings,Sofas,2023-08-08,6135.34,10774.22
SKU-0174,Small Appliances,Fans,2023-12-08,1443.28,2450.61
SKU-0175,Furnishings,Chairs,2023-09-14,4594.18,9906.54
SKU-0176,Furnishings,Sofas,2024-02-06,3096.51,5248.83
SKU-0177,Decor,Rugs,2024-05-05,1151.49,2103.16
SKU-0178,Small Appliances,Fans,2023-09-07,1655.24,2553.9
SKU-0179,Small Appliances,Kitchen Appliances,2026-03-31,1421.52,3114.52
SKU-0180,Small Appliances,Fans,2023-07-14,1421.65,2324.82
SKU-0181,Small Appliances,Air Purifiers,2026-06-02,3345.36,5288.35
SKU-0182,Small Appliances,Kitchen Appliances,2025-03-15,1610.27,3326.06
SKU-0183,Decor,Lighting,2024-06-07,836.46,1633.85
SKU-0184,Decor,Vases,2023-11-29,572.49,1430.71
SKU-0185,Small Appliances,Heaters,2023-10-30,2566.51,4499.35
SKU-0186,Decor,Wall Art,2024-07-27,1212.66,2159.05
SKU-0187,Decor,Vases,2023-09-23,1618.07,2840.65
SKU-0188,Furnishings,Sofas,2024-02-02,4797.96,7813.97
SKU-0189,Small Appliances,Fans,2024-12-26,2291.64,3619.6
SKU-0190,Furnishings,Sofas,2024-02-24,5019.11,7826.58
SKU-0191,Small Appliances,Fans,2024-06-10,1277.52,2938.17
SKU-0192,Furnishings,Chairs,2023-09-24,7601.4,13786.14
SKU-0193,Furnishings,Chairs,2023-10-21,3810.4,8239.89
SKU-0194,Small Appliances,Fans,2025-02-08,1222.78,2645.98
SKU-0195,Furnishings,Chairs,2024-06-07,5394.09,12142.74
SKU-0196,Furnishings,Storage,2024-06-23,3755.84,6983.48
SKU-0197,Decor,Vases,2023-07-23,459.49,763.37
SKU-0198,Small Appliances,Air Purifiers,2024-04-23,959.92,1888.13
SKU-0199,Furnishings,Chairs,2023-11-06,4692.5,7359.22
SKU-0200,Decor,Lighting,2024-05-04,584.58,1269.39
